Date,Open,Adj Close,Volume,SMA_50,SMA_200,MACD,MACD_signal,RSI_14,Volatility,Daily_Return,interest_rate,vix,tmo,de,unh,nsdq,spy
2018-01-02,139.66000366210938,115.68245697021484,6842100,,,0.0,0.0,,,,2.4649999141693115,9.770000457763672,189.75115966796875,142.70977783203125,200.14852905273438,7006.89990234375,2695.81005859375
2018-01-03,139.36000061035156,116.78751373291016,5350500,,,0.08815267622640022,0.017630535245280046,,,0.009552500799493213,2.447000026702881,9.149999618530273,193.2318572998047,143.36004638671875,202.24813842773438,7065.52978515625,2713.06005859375
2018-01-04,140.4499969482422,116.77918243408203,4837600,,,0.15554896936077967,0.045214222068379974,,,-7.133723941732395e-05,2.453000068664551,9.220000267028809,195.65072631835938,144.1819305419922,203.12594604492188,7077.91015625,2723.989990234375
2018-01-05,140.69000244140625,117.74300384521484,6158800,,,0.283465733595051,0.09286452437371419,,,0.00825336666213472,2.4760000705718994,9.220000267028809,199.00367736816406,144.7960968017578,206.99928283691406,7136.56005859375,2743.14990234375
2018-01-08,141.6999969482422,117.89256286621094,5129800,,,0.39238567609629627,0.15276875471823062,,,0.001270215775985406,2.4800000190734863,9.520000457763672,199.32810974121094,145.5095977783203,203.4064483642578,7157.39013671875,2747.7099609375
2018-01-09,142.3699951171875,119.76201629638672,8897000,,,0.6223803699093367,0.24669107775645183,,,0.015857263467054405,2.5460000038146973,10.079999923706055,202.6515655517578,149.56484985351562,204.42007446289062,7163.580078125,2751.2900390625
2018-01-10,143.5500030517578,119.62079620361328,6558600,,,0.7842175685455004,0.35419637591426156,,,-0.0011791726387099244,2.549999952316284,9.819999694824219,202.83843994140625,148.96873474121094,202.89964294433594,7153.56982421875,2748.22998046875
2018-01-11,144.1300048828125,120.30207824707031,4962200,,,0.9564234277123518,0.4746417862738796,,,0.005695347841502274,2.5309998989105225,9.880000114440918,205.1687469482422,151.24473571777344,203.9765625,7211.77978515625,2767.56005859375
2018-01-12,144.99000549316406,121.10806274414062,5450600,,,1.1447381954559432,0.6086610681102923,,,0.006699672265137568,2.552000045776367,10.15999984741211,206.65345764160156,152.906494140625,206.91781616210938,7261.06005859375,2786.239990234375
2018-01-16,146.4199981689453,122.02203369140625,8804000,,,1.3521421694476743,0.7573572883777687,,,0.007546739057303853,2.5439999103546143,11.65999984741211,204.5295867919922,151.31698608398438,210.7730712890625,7223.68994140625,2776.419921875
2018-01-17,147.83999633789062,122.12171936035156,10619700,,,1.507181266030031,0.9073220839082212,,,0.0008169481029747239,2.578000068664551,11.90999984741211,207.94158935546875,151.21759033203125,215.77772521972656,7298.27978515625,2802.56005859375
2018-01-18,146.92999267578125,122.07189178466797,5554800,,,1.607499939468454,1.047357655020268,,,-0.00040801567439907593,2.6110000610351562,12.220000267028809,208.85597229003906,151.64208984375,220.05836486816406,7296.0498046875,2798.030029296875
2018-01-19,147.4600067138672,122.43744659423828,8738800,,,1.6969391705387125,1.1772739581239569,,,0.0029945862575402327,2.63700008392334,11.270000457763672,209.9376220703125,153.82781982421875,220.23033142089844,7336.3798828125,2810.300048828125
