Date,Open,Adj Close,Volume,SMA_50,SMA_200,MACD,MACD_signal,RSI_14,Volatility,Daily_Return,interest_rate,vix,orly,acgl,pgr,nsdq,spy
2018-01-02,53.99809265136719,43.82484817504883,10556504,,,0.0,0.0,,,,2.4649999141693115,9.770000457763672,249.25999450683594,29.433332443237305,46.40384292602539,7006.89990234375,2695.81005859375
2018-01-03,53.654579162597656,43.76248550415039,11090460,,,-0.004974799957707887,-0.0009949599915415775,,,-0.0014229979907595114,2.447000026702881,9.149999618530273,253.83999633789062,29.459999084472656,46.378700256347656,7065.52978515625,2713.06005859375
2018-01-04,53.85496139526367,44.47184753417969,15751650,,,0.04777154207158674,0.008758340421084086,,,0.016209363381840314,2.453000068664551,9.220000267028809,257.67999267578125,29.56999969482422,46.37031936645508,7077.91015625,2723.989990234375
2018-01-05,54.761451721191406,44.425071716308594,9955057,,,0.08482121440599144,0.023970915218065558,,,-0.0010518073897232139,2.4760000705718994,9.220000267028809,260.2799987792969,29.453332901000977,46.54634094238281,7136.56005859375,2743.14990234375
2018-01-08,54.58969497680664,44.1678352355957,11642546,,,0.09236182288000094,0.03764909675045264,,,-0.005790344748469067,2.4800000190734863,9.520000457763672,260.0,29.456666946411133,46.6888427734375,7157.39013671875,2747.7099609375
2018-01-09,54.20801544189453,44.27696990966797,11142022,,,0.10592305055195794,0.0513038875107537,,,0.002470908376879466,2.5460000038146973,10.079999923706055,261.260009765625,29.07666778564453,47.08280563354492,7163.580078125,2751.2900390625
2018-01-10,53.959922790527344,44.666725158691406,9497395,,,0.146432430552629,0.07032959611912877,,,0.008802663095929919,2.549999952316284,9.819999694824219,258.45001220703125,28.916667938232422,46.67207336425781,7153.56982421875,2748.22998046875
2018-01-11,54.67557144165039,44.90058135986328,7447402,,,0.19515699867452696,0.09529507663020842,,,0.005235579737288498,2.5309998989105225,9.880000114440918,259.75,29.623332977294922,46.655311584472656,7211.77978515625,2767.56005859375
2018-01-12,55.29580307006836,45.72688293457031,12935569,,,0.2970233016107713,0.135640721626321,,,0.018402914832761352,2.552000045776367,10.15999984741211,258.6000061035156,30.229999542236328,46.8900032043457,7261.06005859375,2786.239990234375
2018-01-16,58.921756744384766,48.38505935668945,50399682,,,0.5854964637770408,0.22561187005646496,,,0.05813159024905934,2.5439999103546143,11.65999984741211,257.8900146484375,30.459999084472656,47.166622161865234,7223.68994140625,2776.419921875
