Date,Open,Adj Close,Volume,SMA_50,SMA_200,MACD,MACD_signal,RSI_14,Volatility,Daily_Return,interest_rate,vix,pwr,ajg,orly,nsdq,spy
2018-01-02,84.45999908447266,75.83788299560547,3456700,,,0.0,0.0,,,,2.4649999141693115,9.770000457763672,38.54648971557617,56.130863189697266,249.25999450683594,7006.89990234375,2695.81005859375
2018-01-03,84.73999786376953,76.24983215332031,3078400,,,0.03286204107126878,0.006572408214253755,,,0.005431970691200716,2.447000026702881,9.149999618530273,38.85101318359375,56.55520248413086,253.83999633789062,7065.52978515625,2713.06005859375
2018-01-04,85.27999877929688,76.59014892578125,2462500,,,0.08538193497217605,0.022334313565838215,,,0.004463180611029349,2.453000068664551,9.220000267028809,39.15553283691406,57.07887268066406,257.67999267578125,7077.91015625,2723.989990234375
2018-01-05,86.08999633789062,77.5305404663086,2946300,,,0.2005739754782354,0.057982245948317655,,,0.012278230995981243,2.4760000705718994,9.220000267028809,38.81170654296875,57.340694427490234,260.2799987792969,7136.56005859375,2743.14990234375
2018-01-08,86.69000244140625,77.13646697998047,3251400,,,0.25710234476616733,0.0978062657118876,,,-0.005082816190342121,2.4800000190734863,9.520000457763672,38.40895080566406,57.37681198120117,260.0,7157.39013671875,2747.7099609375
2018-01-09,86.19999694824219,77.07376098632812,2426000,,,0.29345882440392757,0.1369367774502956,,,-0.0008129228120937748,2.5460000038146973,10.079999923706055,37.95709228515625,57.449039459228516,261.260009765625,7163.580078125,2751.2900390625
2018-01-10,85.61000061035156,77.1095962524414,1674600,,,0.3214576393724258,0.17384094983472162,,,0.00046494767680593796,2.549999952316284,9.819999694824219,37.465919494628906,57.394874572753906,258.45001220703125,7153.56982421875,2748.22998046875
2018-01-11,86.16999816894531,77.36930847167969,2647500,,,0.3604484818154816,0.21116245623087362,,,0.0033680920645471346,2.5309998989105225,9.880000114440918,38.379493713378906,57.24137496948242,259.75,7211.77978515625,2767.56005859375
2018-01-12,86.5199966430664,77.8977279663086,2728900,,,0.4290423097191649,0.2547384269285319,,,0.006829833496861726,2.552000045776367,10.15999984741211,38.74295425415039,57.67475509643555,258.6000061035156,7261.06005859375,2786.239990234375
2018-01-16,85.93000030517578,76.38416290283203,4878300,,,0.3571543087427784,0.2752216032913812,,,-0.019430156732314297,2.5439999103546143,11.65999984741211,38.00621032714844,57.25943374633789,257.8900146484375,7223.68994140625,2776.419921875
