Date,Open,Adj Close,Volume,SMA_50,SMA_200,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,Volatility,Daily_Return,interest_rate,vix,msft,fast,low,nsdq,spy
2018-01-02,42.540000915527344,40.67096710205078,102223600,,,,,,,,,2.4649999141693115,9.770000457763672,80.08090209960938,22.98215675354004,81.75900268554688,7006.89990234375,2695.81005859375
2018-01-03,43.13249969482422,40.66389846801758,118071600,,,,,,,,-0.00017380049054316338,2.447000026702881,9.149999618530273,80.45360565185547,22.990583419799805,82.1159439086914,7065.52978515625,2713.06005859375
2018-01-04,43.1349983215332,40.852779388427734,89738400,,,,,,,,0.004644928979416818,2.453000068664551,9.220000267028809,81.16170501708984,23.08327865600586,82.75847625732422,7077.91015625,2723.989990234375
2018-01-05,43.36000061035156,41.317893981933594,94640000,,,,,,,,0.011385139529517918,2.4760000705718994,9.220000267028809,82.16797637939453,23.129636764526367,84.54317474365234,7136.56005859375,2743.14990234375
2018-01-08,43.587501525878906,41.16443634033203,82271200,,,,,,,,-0.0037140722048578656,2.4800000190734863,9.520000457763672,82.25182342529297,23.37403678894043,83.62406158447266,7157.39013671875,2747.7099609375
2018-01-09,43.63750076293945,41.15970993041992,86336000,,,,,,,,-0.00011481779740729614,2.5460000038146973,10.079999923706055,82.1959228515625,23.32769012451172,84.37364959716797,7163.580078125,2751.2900390625
2018-01-10,43.290000915527344,41.15025329589844,95839600,,,,,,,,-0.000229754644468394,2.549999952316284,9.819999694824219,81.8232192993164,22.927370071411133,84.03453826904297,7153.56982421875,2748.22998046875
2018-01-11,43.647499084472656,41.384010314941406,74670800,,,,,,,,0.0056805730298206125,2.5309998989105225,9.880000114440918,82.06546783447266,23.213909149169922,85.43556213378906,7211.77978515625,2767.56005859375
2018-01-12,44.04499816894531,41.81135177612305,101672400,,,,,,,,0.010326245763266462,2.552000045776367,10.15999984741211,83.48167419433594,23.424596786499023,90.00450897216797,7261.06005859375,2786.239990234375
2018-01-16,44.474998474121094,41.59886169433594,118263600,,,,,,,,-0.005082114611478672,2.5439999103546143,11.65999984741211,82.31702423095703,23.361391067504883,90.1026611328125,7223.68994140625,2776.419921875
2018-01-17,44.037498474121094,42.285919189453125,137547200,,,,,,,,0.01651625710736071,2.578000068664551,11.90999984741211,83.98480987548828,21.996116638183594,90.73623657226562,7298.27978515625,2802.56005859375
2018-01-18,44.842498779296875,42.323692321777344,124773600,,,,,,,,0.0008932792061344674,2.6110000610351562,12.220000267028809,83.94754028320312,22.455421447753906,90.45067596435547,7296.0498046875,2798.030029296875
2018-01-19,44.65250015258789,42.13481903076172,129700400,,,,,,,,-0.004462590115712595,2.63700008392334,11.270000457763672,83.8543701171875,22.649263381958008,93.654296875,7336.3798828125,2810.300048828125
2018-01-22,44.32500076293945,41.790103912353516,108434400,,,,,,,,-0.008181241223714109,2.6649999618530273,11.029999732971191,85.35443115234375,22.89366340637207,95.58181762695312,7408.02978515625,2832.969970703125
2018-01-23,44.32500076293945,41.7995491027832,130756400,,,,,,63.61887811936352,,0.00022601500224772586,2.624000072479248,11.100000381469727,85.62462615966797,22.927370071411133,95.94911193847656,7460.2900390625,2839.1298828125
2018-01-24,44.3125,41.13373947143555,204420400,,,,,,46.58009906836853,,-0.015928631902474844,2.6540000438690186,11.470000267028809,85.55007934570312,23.95975685119629,95.5997314453125,7415.06005859375,2837.5400390625
2018-01-25,43.627498626708984,40.399471282958984,166116000,,,,,,35.339093925988706,,-0.01785075215411569,2.621000051498413,11.579999923706055,86.02525329589844,24.06088638305664,95.29518127441406,7411.16015625,2839.25
